ensp	cond	symbol
H.sapiens:ENSP00000455275	ga.gdp	ACLY
H.sapiens:ENSP00000456811	ga.gdp	ACLY
H.sapiens:ENSP00000457972	ga.gdp	RAB5C
H.sapiens:ENSP00000455563	ga.gdp	RAB5C
H.sapiens:ENSP00000456214	ga.gdp	RAB5C
H.sapiens:ENSP00000457540	ga.gdp	RAB5C
H.sapiens:ENSP00000458029	ga.gdp	RAB5C
H.sapiens:ENSP00000433153	ga.gdp	GPSM3
H.sapiens:ENSP00000434899	ga.gdp	GPSM3
H.sapiens:ENSP00000372752	ga.gdp	GPSM3
H.sapiens:ENSP00000372756	ga.gdp	GPSM3
H.sapiens:ENSP00000390715	ga.gdp	PPP1CB
H.sapiens:ENSP00000398839	ga.gdp	PPP1CB
H.sapiens:ENSP00000414918	ga.gdp	PPP1CB
H.sapiens:ENSP00000394589	ga.gdp	PPP1CB
H.sapiens:ENSP00000296122	ga.gdp	PPP1CB
H.sapiens:ENSP00000378769	ga.gdp	PPP1CB
H.sapiens:ENSP00000388056	ga.gdp	PPP1CB
H.sapiens:ENSP00000351298	ga.gdp	PPP1CB
H.sapiens:ENSP00000353518	ga.gdp	ANKS1A
H.sapiens:ENSP00000438752	ga.gdp	ANKS1A
H.sapiens:ENSP00000341072	ga.gdp	CDC42
H.sapiens:ENSP00000314458	ga.gdp	CDC42
H.sapiens:ENSP00000398327	ga.gdp	CDC42
H.sapiens:ENSP00000383118	ga.gdp	CDC42
H.sapiens:ENSP00000398592	ga.gdp	CDC42
H.sapiens:ENSP00000353284	ga.gdp	DDX3Y
H.sapiens:ENSP00000398953	ga.gdp	DDX3Y
H.sapiens:ENSP00000336725	ga.gdp	DDX3Y
H.sapiens:ENSP00000400377	ga.gdp	DDX3Y
H.sapiens:ENSP00000361841	ga.gdp	VCL
H.sapiens:ENSP00000415489	ga.gdp	VCL
H.sapiens:ENSP00000211998	ga.gdp	VCL
H.sapiens:ENSP00000411887	ga.gdp	VCL
H.sapiens:ENSP00000261366	ga.gdp	LMNB1
H.sapiens:ENSP00000378761	ga.gdp	LMNB1
H.sapiens:ENSP00000392541	ga.gdp	ALB
H.sapiens:ENSP00000310226	ga.gdp	RAB1B
H.sapiens:ENSP00000435195	ga.gdp	RAB1B
H.sapiens:ENSP00000338934	ga.gdp	EZR
H.sapiens:ENSP00000356042	ga.gdp	EZR
H.sapiens:ENSP00000376016	ga.gdp	EZR
H.sapiens:ENSP00000295897	ga.gdp	ALB
H.sapiens:ENSP00000401820	ga.gdp	ALB
H.sapiens:ENSP00000423727	ga.gdp	ALB
H.sapiens:ENSP00000421027	ga.gdp	ALB
H.sapiens:ENSP00000422784	ga.gdp	ALB
H.sapiens:ENSP00000384695	ga.gdp	ALB
H.sapiens:ENSP00000426179	ga.gdp	ALB
H.sapiens:ENSP00000429846	ga.gdp	CYFIP2
H.sapiens:ENSP00000429135	ga.gdp	CYFIP2
H.sapiens:ENSP00000428009	ga.gdp	CYFIP2
H.sapiens:ENSP00000427933	ga.gdp	CYFIP2
H.sapiens:ENSP00000406871	ga.gdp	GNAI2
H.sapiens:ENSP00000428079	ga.gdp	CYFIP2
H.sapiens:ENSP00000430904	ga.gdp	CYFIP2
H.sapiens:ENSP00000430930	ga.gdp	CYFIP2
H.sapiens:ENSP00000428520	ga.gdp	CYFIP2
H.sapiens:ENSP00000428022	ga.gdp	CYFIP2
H.sapiens:ENSP00000428645	ga.gdp	CYFIP2
H.sapiens:ENSP00000406065	ga.gdp	GNAI2
H.sapiens:ENSP00000428946	ga.gdp	CYFIP2
H.sapiens:ENSP00000408921	ga.gdp	FLNA
H.sapiens:ENSP00000408921	ga.gdp	FLNA
H.sapiens:ENSP00000408921	ga.gdp	FLNA
H.sapiens:ENSP00000428156	ga.gdp	CYFIP2
H.sapiens:ENSP00000428655	ga.gdp	CYFIP2
H.sapiens:ENSP00000312999	ga.gdp	GNAI2
H.sapiens:ENSP00000394321	ga.gdp	GNAI2
H.sapiens:ENSP00000325817	ga.gdp	CYFIP2
H.sapiens:ENSP00000395736	ga.gdp	GNAI2
H.sapiens:ENSP00000406369	ga.gdp	GNAI2
H.sapiens:ENSP00000266027	ga.gdp	GNAI2
H.sapiens:ENSP00000313567	ga.gdp	CYFIP2
H.sapiens:ENSP00000366799	ga.gdp	CYFIP2
H.sapiens:ENSP00000444360	ga.gdp	GNAI2
H.sapiens:ENSP00000444645	ga.gdp	CYFIP2
H.sapiens:ENSP00000403793	ga.gdp	CYFIP2
H.sapiens:ENSP00000390948	ga.gdp	CYFIP2
H.sapiens:ENSP00000416171	ga.gdp	EWSR1
H.sapiens:ENSP00000381031	ga.gdp	EWSR1
H.sapiens:ENSP00000353467	ga.gdp	FLNA
H.sapiens:ENSP00000353467	ga.gdp	FLNA
H.sapiens:ENSP00000353467	ga.gdp	FLNA
H.sapiens:ENSP00000406824	ga.gdp	EWSR1
H.sapiens:ENSP00000405947	ga.gdp	EWSR1
H.sapiens:ENSP00000385726	ga.gdp	EWSR1
