From	To
A4FU69	HGNC:24801
A5A3E0	HGNC:33905
A6NC98	HGNC:26757
A6NCN2	HGNC:30198
A6NHR9	HGNC:29090
A6NKC0	HGNC:32255
A6QL63	HGNC:23844
A7KAX9	HGNC:17399
A8MTJ3	HGNC:22800
B2RPK0	HGNC:4993
A6NG51	HGNC:11273
A6NI12	HGNC:20261
A8MXH5	HGNC:2208
B7Z2L7	HGNC:11984
B8ZZJ3	HGNC:428
C4P093	HGNC:2888
C9JCU0	HGNC:5433
C9JMN1	HGNC:20466
C9JT55	HGNC:23399
D6REX5	HGNC:10751
E7ENL6	HGNC:2213
E7ENV7	HGNC:23498
E7ENY8	HGNC:2201
E7EP74	HGNC:4429
E7EQD6	HGNC:30425
E7ESS6	HGNC:1486
E7EVW8	HGNC:16272
E7EWD6	HGNC:23805
E9PCV6	HGNC:2213
E9PEL9	HGNC:17089
E9PGG4	HGNC:14438
E9PH58	HGNC:28976
E9PI54	HGNC:9817
E9PQG7	HGNC:7132
F5GWJ1	HGNC:8659
F5GYL2	HGNC:24801
F5GZD8	HGNC:16406
F5H2T0	HGNC:5959
F5H5K9	HGNC:16268
F8VZY9	HGNC:6430
F8W8C1	HGNC:31859
F8W9F9	HGNC:14542
F8WCL5	HGNC:7720
F8WCP0	HGNC:7720
G3V3E1	HGNC:21326
G3V4Y7	HGNC:6467
H0Y7V4	HGNC:2952
H0YCN2	HGNC:18118
H0YF65	HGNC:20313
H0YGL9	HGNC:10484
H0YK49	HGNC:3481
H3BPX2	HGNC:15719
H3BTW5	HGNC:24321
H7BY37	HGNC:13726
H7BY84	HGNC:4668
H7BYU6	HGNC:24605
H7BZ83	HGNC:11014
H7BZK0	HGNC:16643
A2A2M0	HGNC:16209
A2A376	HGNC:19102
A2A3N8	HGNC:243
A2ACR1	HGNC:9546
A2IDB2	HGNC:12853
A6NC17	HGNC:6898
A6NDZ3	HGNC:15925
A6NE09	HGNC:36809
A6NEC0	HGNC:25504
A6NEM2	HGNC:4839
A6NFN2	HGNC:11320
A6NG06	HGNC:9355
A6NH36	HGNC:10424
A6NIW2	HGNC:23483
A6NJA2	HGNC:12612
A6NJG9	HGNC:9568
A6NL76	HGNC:129
A6NN80	HGNC:544
A6NNR3	HGNC:9281
A6PVH9	HGNC:2314
A6PVN5	HGNC:9308
A6PVX3	HGNC:9561
A6PW80	HGNC:3189
A7MAP1	HGNC:2254
A7YIJ8	HGNC:9944
A8CZ64	HGNC:6871
A8K3Z3	HGNC:9552
A8MT37	HGNC:4616
A8MTH6	HGNC:11292
A8MUB1	HGNC:12407
A8MUS3	HGNC:10317
A8MV29	HGNC:5961
A8MV37	HGNC:10697
A8MVM1	HGNC:1504
A8MVZ9	HGNC:418
A8MW50	HGNC:6541
A8MX94	HGNC:4638
A8MXP9	HGNC:6912
A8MY36	HGNC:2711
A8MY67	HGNC:9303
A8W6Z8	HGNC:9314
B0AZS6	HGNC:12855
