Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI	42 kDa	TRUE	321
GST-part	GST	26 kDa	TRUE	464
Guanine nucleotide-binding protein alpha-8 subunit OS=Dictyostelium discoideum GN=gpaH PE=2 SV=2	sp|P34046|GPA8_DICDI	46 kDa	TRUE	713
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa	TRUE	120
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa	TRUE	275
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47 kDa		61
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70 kDa	TRUE	74
"Keratin, type I cytoskeletal 10"	gi|547749|sp|P13645|K1C10_HUMAN	60 kDa	TRUE	190
"Keratin, type II cytoskeletal 2 epidermal"	gi|547754|sp|P35908|K22E_HUMAN	66 kDa	TRUE	136
"keratin 1, type II, cytoskeletal - human"	gi|7428712|pir||KRHU2	65 kDa	TRUE	238
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29 kDa	TRUE	168
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50 kDa		212
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97 kDa		75
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23 kDa	TRUE	112
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93 kDa	TRUE	78
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	23
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI	92 kDa	TRUE	44
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa	TRUE	16
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49 kDa	TRUE	51
Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI	47 kDa	TRUE	38
