Identified Proteins (337)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasG_PO_ms2
GST-part	GST	26 kDa	TRUE	4051
Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI	21 kDa	TRUE	2749
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa	TRUE	370
"keratin 1, type II, cytoskeletal - human"	gi|7428712|pir||KRHU2	65 kDa	TRUE	247
Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI	69 kDa	TRUE	161
"Keratin, type I cytoskeletal 9"	gi|81175178|sp|P35527|K1C9_HUMAN	62 kDa	TRUE	195
"Keratin, type II cytoskeletal 2 epidermal"	gi|547754|sp|P35908|K22E_HUMAN	66 kDa	TRUE	136
Putative uncharacterized protein DDB_G0271918 OS=Dictyostelium discoideum GN=DDB_G0271918 PE=4 SV=1	rsp|Q86I92|Y8558_DICDI	?		145
"Keratin, type I cytoskeletal 10"	gi|547749|sp|P13645|K1C10_HUMAN	60 kDa	TRUE	149
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70 kDa	TRUE	84
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23 kDa		70
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0272052 PE=4 SV=1	tr|Q55AC2|Q55AC2_DICDI	82 kDa		72
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI	24 kDa		67
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	82
DNA topoisomerase I (EC 5.99.1.2) (Omega	sp|P06612|TOP1_ECOLI	97 kDa		78
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa		65
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190877 PE=4 SV=1	tr|Q55C65|Q55C65_DICDI	133 kDa	TRUE	47
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47 kDa		32
Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI	70 kDa	TRUE	64
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa		42
Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI	28 kDa	TRUE	38
Cell division protein ftsZ.	sp|P0A9A6|FTSZ_ECOLI	40 kDa	TRUE	45
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29 kDa	TRUE	32
Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI	88 kDa	TRUE	64
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57 kDa		25
Glycine cleavage system transcriptional	sp|P0A9I3|GCVR_ECOLI	21 kDa		29
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI	37 kDa	TRUE	24
Stringent starvation protein B.	sp|P0AFZ3|SSPB_ECOLI	18 kDa		22
"Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1"	sp|Q8I0H7|HSP7M_DICDI	71 kDa	TRUE	13
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa	TRUE	17
Protein recA (Recombinase A).	sp|P0A7G6|RECA_ECOLI	38 kDa		19
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		11
Ras-like protein rasD OS=Dictyostelium discoideum GN=rasD PE=2 SV=2	sp|P03967|RASD_DICDI	21 kDa	TRUE	863
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218139 PE=4 SV=1	rtr|Q54XE2|Q54XE2_DICDI	?	TRUE	13
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50 kDa		11
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	sp|Q54D04|MDHB_DICDI	38 kDa		28
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI (+1)	42 kDa	TRUE	12
Galactitol-specific phosphotransferase e	sp|P69828|PTKA_ECOLI	17 kDa		15
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa		13
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa		15
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37 kDa		14
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39 kDa		19
