Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
GST-part	GST	26 kDa	TRUE	3541
"Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2, isoform CRA_c OS=Homo sapiens GN=GNAI2 PE=2 SV=1"	tr|B4E2X5|B4E2X5_HUMAN	35 kDa	TRUE	93
Ras-related C3 botulinum toxin substrate 2 (Fragment) OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH78|B1AH78_HUMAN	19 kDa	TRUE	24
Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens GN=GNAT3 PE=2 SV=2	sp|A8MTJ3|GNAT3_HUMAN	40 kDa	TRUE	0
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa	TRUE	576
Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=3 SV=1	tr|A8MX94|A8MX94_HUMAN	19 kDa	TRUE	443
POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2	sp|A5A3E0|POTEF_HUMAN	121 kDa	TRUE	414
Coronin OS=Homo sapiens GN=CORO1A PE=3 SV=1	tr|H3BRY3|H3BRY3_HUMAN	43 kDa	TRUE	312
Outer membrane protein F OS=Escherichia coli GN=ompF PE=3 SV=1	tr|E2QJE0|E2QJE0_ECOLX	39 kDa	TRUE	0
DNA-directed RNA polymerase OS=Escherichia coli GN=rpoC PE=3 SV=1	tr|C3SIA2|C3SIA2_ECOLX	155 kDa	TRUE	0
Ras GTPase-activating protein 3 OS=Homo sapiens GN=RASA3 PE=2 SV=1	tr|F8W6X8|F8W6X8_HUMAN	92 kDa	TRUE	3
"Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=3 SV=2"	tr|A6NL76|A6NL76_HUMAN	32 kDa	TRUE	530
Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=4 SV=1	tr|B9ZVX7|B9ZVX7_HUMAN	17 kDa	TRUE	72
Cell division protein FtsZ OS=Escherichia coli GN=ftsZ PE=3 SV=1	tr|C3TQK2|C3TQK2_ECOLX	40 kDa		0
Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens GN=BTBD11 PE=2 SV=3	sp|A6QL63|BTBDB_HUMAN	121 kDa		0
Serum albumin OS=Homo sapiens GN=ALB PE=4 SV=1	tr|D6RHD5|D6RHD5_HUMAN (+1)	52 kDa		36
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=3 SV=1	tr|E9PKE3|E9PKE3_HUMAN	69 kDa	TRUE	149
"RAP1, GTP-GDP dissociation stimulator 1, isoform CRA_b OS=Homo sapiens GN=RAP1GDS1 PE=4 SV=1"	tr|G5E9P9|G5E9P9_HUMAN	66 kDa	TRUE	0
50S ribosomal protein L5 OS=Escherichia coli GN=rplE PE=3 SV=1	tr|C3SR02|C3SR02_ECOLX	20 kDa		0
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=3 SV=1	tr|F8VYX6|F8VYX6_HUMAN	48 kDa	TRUE	69
Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH80|B1AH80_HUMAN	21 kDa	TRUE	0
Filamin-A OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|E9PHF0|E9PHF0_HUMAN	83 kDa	TRUE	126
Guanylate kinase (Fragment) OS=Homo sapiens GN=GUK1 PE=4 SV=1	tr|B1ANH2|B1ANH2_HUMAN	28 kDa	TRUE	0
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YLE8|H0YLE8_HUMAN	125 kDa	TRUE	53
Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1	tr|A8MUB1|A8MUB1_HUMAN	48 kDa	TRUE	55
Actinin alpha 1 isoform 3 OS=Homo sapiens GN=ACTN1 PE=2 SV=1	tr|B7TY16|B7TY16_HUMAN	107 kDa	TRUE	141
