Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184177 PE=4 SV=1	tr|Q54DU0|Q54DU0_DICDI	49 kDa	TRUE	49
GST-part	GST	26 kDa	TRUE	361
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI	42 kDa	TRUE	292
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa	TRUE	589
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23 kDa	TRUE	397
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47 kDa		803
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50 kDa	TRUE	224
"keratin 1, type II, cytoskeletal - human"	gi|7428712|pir||KRHU2	65 kDa	TRUE	328
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa	TRUE	460
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa	TRUE	118
"Keratin, type II cytoskeletal 2 epidermal"	gi|547754|sp|P35908|K22E_HUMAN	66 kDa	TRUE	330
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97 kDa		235
"Keratin, type I cytoskeletal 10"	gi|547749|sp|P13645|K1C10_HUMAN	60 kDa	TRUE	300
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI	24 kDa		67
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29 kDa	TRUE	164
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70 kDa	TRUE	285
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93 kDa	TRUE	136
"Keratin, type I cytoskeletal 9"	gi|81175178|sp|P35527|K1C9_HUMAN	62 kDa	TRUE	156
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23 kDa		58
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291 kDa	TRUE	110
Talin-B OS=Dictyostelium discoideum GN=talB PE=2 SV=1	sp|Q54K81|TALB_DICDI	278 kDa	TRUE	131
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa	TRUE	20
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI	92 kDa	TRUE	146
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80 kDa	TRUE	137
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	sp|Q54D04|MDHB_DICDI	38 kDa	TRUE	91
