Identified Proteins (461)	Accession Number	Mass	Protein Grouping Ambiguity	KP Rap IP
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	P18613	1		553
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	B0G141	1		377
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	P18624	1		151
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	P15112	1		88
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	P07830 (+1)	1	TRUE	75
Putative actin binding protein OS=Dictyostelium discoideum GN=DDB_0232319 PE=4 SV=1	Q54TU2	1		84
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	P36415	1	TRUE	80
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	P54651	1	TRUE	65
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	P05095	1		71
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	Q54VI4	1		54
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=2 SV=3	P20054	1		50
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	P13466	1		62
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	Q556G3	1		41
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	Q94469	1		41
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	P32256	1		34
Pleckstrin homology (PH) domain-containing protein OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	Q54P24	1		23
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	Q54P64	1		37
NAD+ dependent glutamate dehydrogenase OS=Dictyostelium discoideum GN=DDB_0233691 PE=4 SV=2	Q54VI3	1		28
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	Q557D2	1		36
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	P24639	1		26
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	Q9U641	1		35
