Identified Proteins (1228)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI	42 kDa	TRUE	852
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa	TRUE	839
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47 kDa		97
GST-part	GST	26 kDa	TRUE	286
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa		168
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70 kDa	TRUE	438
Guanine nucleotide-binding protein alpha-8 subunit OS=Dictyostelium discoideum GN=gpaH PE=2 SV=2	sp|P34046|GPA8_DICDI	46 kDa		456
"Keratin, type II cytoskeletal 2 epidermal"	gi|547754|sp|P35908|K22E_HUMAN	66 kDa	TRUE	207
"Keratin, type I cytoskeletal 10"	gi|547749|sp|P13645|K1C10_HUMAN	60 kDa	TRUE	214
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97 kDa		233
"keratin 1, type II, cytoskeletal - human"	gi|7428712|pir||KRHU2	65 kDa	TRUE	184
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa		326
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93 kDa	TRUE	208
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa	TRUE	2
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23 kDa	TRUE	47
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29 kDa	TRUE	215
"Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1"	sp|Q8I0H7|HSP7M_DICDI	71 kDa	TRUE	233
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI	92 kDa	TRUE	202
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49 kDa		263
Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI	47 kDa	TRUE	216
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32 kDa	TRUE	219
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50 kDa		72
Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI	117 kDa	TRUE	159
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55 kDa		216
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa		167
"ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1"	sp|Q55CS9|ATPB_DICDI	71 kDa	TRUE	123
Probable serine/threonine-protein kinase roco4 OS=Dictyostelium discoideum GN=roco4 PE=3 SV=1	sp|Q6XHB2|ROCO4_DICDI	193 kDa	TRUE	0
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291 kDa	TRUE	140
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1"	sp|Q54RA2|AL4A1_DICDI	62 kDa	TRUE	219
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72 kDa	TRUE	117
Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI	70 kDa	TRUE	385
Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI	150 kDa	TRUE	106
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI	37 kDa	TRUE	158
"Keratin, type I cytoskeletal 9"	gi|81175178|sp|P35527|K1C9_HUMAN	62 kDa	TRUE	82
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80 kDa	TRUE	66
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	sp|Q54D04|MDHB_DICDI	38 kDa	TRUE	120
