Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
GST-part	GST	26 kDa	TRUE	1767
Guanine nucleotide-binding protein alpha-2 subunit OS=Dictyostelium discoideum GN=gpaB PE=1 SV=3	sp|P16051|GPA2_DICDI	41 kDa	TRUE	40
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57 kDa	TRUE	406
Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI	69 kDa	TRUE	1541
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	2040
Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI	42 kDa	TRUE	529
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa	TRUE	465
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47 kDa	TRUE	944
"keratin 1, type II, cytoskeletal - human"	gi|7428712|pir||KRHU2	65 kDa	TRUE	888
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23 kDa	TRUE	319
"Keratin, type I cytoskeletal 9"	gi|81175178|sp|P35527|K1C9_HUMAN	62 kDa	TRUE	622
"Keratin, type I cytoskeletal 10"	gi|547749|sp|P13645|K1C10_HUMAN	60 kDa	TRUE	585
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50 kDa		359
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa	TRUE	104
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa	TRUE	264
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70 kDa	TRUE	197
"Keratin, type II cytoskeletal 2 epidermal"	gi|547754|sp|P35908|K22E_HUMAN	66 kDa	TRUE	524
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291 kDa	TRUE	295
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93 kDa	TRUE	129
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184177 PE=4 SV=1	tr|Q54DU0|Q54DU0_DICDI	49 kDa	TRUE	13
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI	24 kDa	TRUE	122
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29 kDa	TRUE	57
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80 kDa	TRUE	112
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI	37 kDa	TRUE	94
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97 kDa	TRUE	166
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	sp|Q54D04|MDHB_DICDI	38 kDa	TRUE	50
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49 kDa	TRUE	40
