Identified Proteins (670)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galphai_AluFl
GST-part	GST	26 kDa		1148
"Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2, isoform CRA_e OS=Homo sapiens GN=GNAI2 PE=2 SV=1"	tr|B3KTZ0|B3KTZ0_HUMAN (+2)	39 kDa		1341
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24 kDa		235
Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens GN=GNAT3 PE=2 SV=2	sp|A8MTJ3|GNAT3_HUMAN (+4)	40 kDa		214
"Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=3 SV=2"	tr|A6NL76|A6NL76_HUMAN (+1)	32 kDa	TRUE	270
Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=3 SV=1	tr|A8MX94|A8MX94_HUMAN	19 kDa	TRUE	170
Filamin-A OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|E9PHF0|E9PHF0_HUMAN	83 kDa	TRUE	322
Actinin alpha 1 isoform 3 OS=Homo sapiens GN=ACTN1 PE=2 SV=1	tr|B7TY16|B7TY16_HUMAN (+3)	107 kDa		326
"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens GN=ACTB PE=3 SV=1"	tr|E7EVS6|E7EVS6_HUMAN (+13)	18 kDa		164
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=3 SV=1	tr|E9PKE3|E9PKE3_HUMAN (+7)	69 kDa	TRUE	82
Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|F8WE98|F8WE98_HUMAN	67 kDa		176
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=3 SV=1	tr|F8VYX6|F8VYX6_HUMAN (+14)	48 kDa		114
Coronin OS=Homo sapiens GN=CORO1A PE=3 SV=1	tr|H3BRY3|H3BRY3_HUMAN (+5)	43 kDa		46
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YLE8|H0YLE8_HUMAN	125 kDa		186
Ras GTPase-activating protein 3 OS=Homo sapiens GN=RASA3 PE=2 SV=1	tr|F8W6X8|F8W6X8_HUMAN	92 kDa		159
"Carbonyl reductase 1, isoform CRA_c OS=Homo sapiens GN=CBR1 PE=2 SV=1"	tr|B4DFK7|B4DFK7_HUMAN (+2)	19 kDa	TRUE	47
Plastin-3 OS=Homo sapiens GN=PLS3 PE=2 SV=1	tr|B4DGB4|B4DGB4_HUMAN (+5)	69 kDa		75
Pyruvate kinase (Fragment) OS=Homo sapiens GN=PKM PE=3 SV=1	tr|H3BTN5|H3BTN5_HUMAN (+5)	53 kDa		7
Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=3 SV=1	tr|E9PF41|E9PF41_HUMAN (+1)	45 kDa		56
