Ensembl Protein ID	HGNC ID(s)	UniProt/SwissProt Accession	UniProt/SwissProt ID
ENSP00000456546	20661		
ENSP00000457004	20661		
ENSP00000456312	20661		
ENSP00000456306	20661		
ENSP00000455676	1121		
ENSP00000454448	1121	P35070	BTC_HUMAN
ENSP00000455919	4164	P01350	GAST_HUMAN
ENSP00000456403	4812		
ENSP00000454808	4812		
ENSP00000454522	4812		
ENSP00000455133	4812	P54257	HAP1_HUMAN
ENSP00000455978	4812	P54257	HAP1_HUMAN
ENSP00000454909	4812	P54257	HAP1_HUMAN
ENSP00000456169	4812	P54257	HAP1_HUMAN
ENSP00000454630	6207	P14923	PLAK_HUMAN
ENSP00000456867	6207	P14923	PLAK_HUMAN
ENSP00000457186	6207	P14923	PLAK_HUMAN
ENSP00000455782	6207		
ENSP00000456770	6207		
ENSP00000455424	6207		
ENSP00000454917	6207		
ENSP00000456298	6207		
ENSP00000454226			
ENSP00000458002			
ENSP00000456130	18169		
ENSP00000454310	18169		
ENSP00000455335	18169	Q96AY3	FKB10_HUMAN
ENSP00000456255	18169		
ENSP00000474639	5569		
ENSP00000474509	5633		
ENSP00000473849	5512		
ENSP00000474693	5506		
ENSP00000474133	5500		
ENSP00000474065	5493		
ENSP00000473787	5487		
ENSP00000458071	28300		
ENSP00000454820	28300		
ENSP00000456492	28300		
ENSP00000398615	37225	A8MZA4	GG6L6_HUMAN
ENSP00000454620	28300	Q969T7	5NT3B_HUMAN
ENSP00000455384	28300		
ENSP00000455373	28300		
ENSP00000456113	28300		
ENSP00000470218			
ENSP00000303034	38040		
ENSP00000453358	38040	A6NJS3	IV1U1_HUMAN
ENSP00000455570	18829		
ENSP00000454897	18829	Q6JEL2	KLH10_HUMAN
ENSP00000454944	48327		
ENSP00000458120	18829		
ENSP00000456953	48327	H3BUK9	POTB2_HUMAN
ENSP00000457872	19008	Q9NVR0	KLH11_HUMAN
ENSP00000473700	5513		
ENSP00000475053	5507		
ENSP00000474573	5501		
ENSP00000474017	5494		
ENSP00000454144	28997		
ENSP00000474222	5488		
ENSP00000472922			
ENSP00000457443	33734		
ENSP00000453854	28997	Q93073	SBP2L_HUMAN
ENSP00000261847	28997	Q93073	SBP2L_HUMAN
ENSP00000457689	33734		
ENSP00000370314	28997		
ENSP00000452987	28997		
ENSP00000455275	115	P53396	ACLY_HUMAN
ENSP00000456811	115	P53396	ACLY_HUMAN
ENSP00000298232	12023	P56180	TPTE_HUMAN
ENSP00000355208	12023	P56180	TPTE_HUMAN
ENSP00000344441	12023	P56180	TPTE_HUMAN
ENSP00000455107	25280		
ENSP00000455078	25280		
ENSP00000399471	12023		
ENSP00000458114	25280	Q96NG3	TTC25_HUMAN
ENSP00000455017	25280		
ENSP00000444145			
ENSP00000299443	23822	Q86YR6	POTED_HUMAN
ENSP00000473030			
ENSP00000457200	2158	P09543	CN37_HUMAN
ENSP00000454542	2158	P09543	CN37_HUMAN
ENSP00000457102	2158		
ENSP00000465244	1224		
ENSP00000382741	1224	O15165	LRAD4_HUMAN
ENSP00000352420	1224	O15165	LRAD4_HUMAN
ENSP00000465573	1224		
ENSP00000460089	12392	Q99615	DNJC7_HUMAN
ENSP00000466490	1224		
ENSP00000461130	12392	Q99615	DNJC7_HUMAN
ENSP00000343331	18821	Q6XZB0	LIPI_HUMAN
ENSP00000383072	18821		
ENSP00000466178	1224	O15165	LRAD4_HUMAN
ENSP00000440381	18821	Q6XZB0	LIPI_HUMAN
ENSP00000466772	1224	O15165	LRAD4_HUMAN
ENSP00000474783	1224	O15165	LRAD4_HUMAN
ENSP00000466771	1224		
ENSP00000354753	1224	O15165	LRAD4_HUMAN
ENSP00000329467	15373	Q8NGB6	OR4M2_HUMAN
ENSP00000457014	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000463925	17898		
ENSP00000455221	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000456949	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000332500	15375	Q8N0Y3	OR4N4_HUMAN
ENSP00000457286	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000463585	17898		
ENSP00000458054	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000383421	9897	P57052	RBM11_HUMAN
ENSP00000457265	17898		
ENSP00000462262	17898	Q9NYR9	KBRS2_HUMAN
ENSP00000474284	5563		
ENSP00000471314			
ENSP00000473987	5658	A6NJ16	IV4F8_HUMAN
ENSP00000454663	33722		
ENSP00000454871	33722		
