source	gene ID	gene name	orthologs
OrthoMCL	DDB_G0267380	argE	A.thaliana:NP_193517
InParanoid	DDB_G0267380	argE	A.thaliana:At4g17830 | E.coli K-12:NP_418392
JGI/Baylor Sequencing Project	DDB_G0267380	argE	D.purpureum:DPU_G0069720
JGI/Baylor Sequencing Project	DDB_G0269812	DDB_G0269812	D.purpureum:DPU_G0052020
OrthoMCL	DDB_G0267990	ypel	M.musculus:ENSMUSP00000018571 | M.musculus:ENSMUSP00000037764 | M.musculus:ENSMUSP00000088231 | M.musculus:ENSMUSP00000037332 | C.elegans:WBGene00009503 | C.elegans:WBGene00015251 | H.sapiens:ENSP00000312272 | H.sapiens:ENSP00000368835 | H.sapiens:ENSP00000300022 | H.sapiens:ENSP00000342832 | H.sapiens:ENSP00000381821 | A.thaliana:NP_001031733 | A.thaliana:NP_181540 | A.thaliana:NP_973645 | A.thaliana:NP_001078135 | A.thaliana:NP_566389 | A.thaliana:NP_187511 | A.thaliana:NP_191148 | A.thaliana:NP_200205 | S.cerevisiae S288c:YBL049W | D.melanogaster:FBpp0111887 | D.melanogaster:FBpp0073620
InParanoid	DDB_G0267990	ypel	A.thaliana:At4g27740 | C.elegans:CE23704 | D.melanogaster:FBpp0071416 | H.sapiens:ENSP00000312272 | M.musculus:ENSMUSP00000018571 | S.cerevisiae S288c:YBL049W
JGI/Baylor Sequencing Project	DDB_G0267990	ypel	D.purpureum:DPU_G0074396
JGI/Baylor Sequencing Project	DDB_G0267992	DDB_G0267992	D.purpureum:DPU_G0074398
OrthoMCL	DDB_G0267994	DDB_G0267994	A.thaliana:NP_179746 | A.thaliana:NP_195626 | A.thaliana:NP_001154353 | A.thaliana:NP_564134 | A.thaliana:NP_177796 | A.thaliana:NP_177828 | S.cerevisiae S288c:YER048C
InParanoid	DDB_G0267994	DDB_G0267994	A.thaliana:At4g39150 | M.musculus:ENSMUSP00000092680 | S.cerevisiae S288c:YIR004W
JGI/Baylor Sequencing Project	DDB_G0267994	DDB_G0267994	D.purpureum:DPU_G0074400
